Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume
2009-09-16,9930.00 ,9930.00 ,9635.00 ,9710.00 ,,,,,,364432.00 
2009-09-17,9660.00 ,9710.00 ,9590.00 ,9640.00 ,,,,,,318224.00 
2009-09-18,9700.00 ,9700.00 ,9535.00 ,9625.00 ,,,,,,377369.00 
2009-09-21,9625.00 ,9710.00 ,9610.00 ,9685.00 ,,,,,,285728.00 
2009-09-22,9685.00 ,9690.00 ,9530.00 ,9535.00 ,9639.00 ,,,,,261109.00 
2009-09-23,9540.00 ,9605.00 ,9535.00 ,9560.00 ,9609.00 ,,,,,153237.00 
2009-09-24,9590.00 ,9695.00 ,9540.00 ,9645.00 ,9610.00 ,,,,,303954.00 
2009-09-25,9690.00 ,9825.00 ,9665.00 ,9670.00 ,9619.00 ,,,,,257530.00 
2009-09-28,9730.00 ,9810.00 ,9730.00 ,9760.00 ,9634.00 ,,,,,208212.00 
2009-09-29,9655.00 ,9725.00 ,9640.00 ,9660.00 ,9659.00 ,9649.00 ,,,,154249.00 
2009-09-30,9720.00 ,9790.00 ,9570.00 ,9755.00 ,9698.00 ,9653.50 ,,,,319269.00 
2009-10-01,9755.00 ,9950.00 ,9675.00 ,9895.00 ,9748.00 ,9679.00 ,,,,530812.00 
2009-10-05,10090.00 ,10130.00 ,9990.00 ,10120.00 ,9838.00 ,9728.50 ,,,,327925.00 
2009-10-06,10020.00 ,10250.00 ,10000.00 ,10200.00 ,9926.00 ,9780.00 ,,,,394050.00 
2009-10-07,10100.00 ,10215.00 ,10005.00 ,10215.00 ,10037.00 ,9848.00 ,,,,434822.00 
2009-10-08,10185.00 ,10265.00 ,10100.00 ,10140.00 ,10114.00 ,9906.00 ,,,,689672.00 
2009-10-09,10075.00 ,10135.00 ,9885.00 ,9895.00 ,10114.00 ,9931.00 ,,,,706026.00 
2009-10-12,9820.00 ,10025.00 ,9815.00 ,9970.00 ,10084.00 ,9961.00 ,,,,1100519.00 
2009-10-13,9980.00 ,10115.00 ,9930.00 ,10045.00 ,10053.00 ,9989.50 ,,,,695586.00 
2009-10-14,10000.00 ,10000.00 ,9865.00 ,9865.00 ,9983.00 ,10010.00 ,9829.50 ,,,860421.00 
2009-10-15,9800.00 ,9855.00 ,9750.00 ,9835.00 ,9922.00 ,10018.00 ,9835.75 ,,,287394.00 
2009-10-16,9815.00 ,9950.00 ,9760.00 ,9950.00 ,9933.00 ,10023.50 ,9851.25 ,,,283885.00 
2009-10-19,10005.00 ,10110.00 ,9850.00 ,9850.00 ,9909.00 ,9996.50 ,9862.50 ,,,557194.00 
2009-10-20,9795.00 ,9885.00 ,9755.00 ,9825.00 ,9865.00 ,9959.00 ,9869.50 ,,,314457.00 
2009-10-21,9890.00 ,9915.00 ,9780.00 ,9850.00 ,9862.00 ,9922.50 ,9885.25 ,,,347122.00 
2009-10-22,9930.00 ,10045.00 ,9890.00 ,10020.00 ,9899.00 ,9910.50 ,9908.25 ,,,646895.00 
2009-10-23,9910.00 ,10000.00 ,9910.00 ,9950.00 ,9899.00 ,9916.00 ,9923.50 ,,,560041.00 
2009-10-26,10020.00 ,10020.00 ,9785.00 ,9800.00 ,9889.00 ,9899.00 ,9930.00 ,,,681471.00 
2009-10-27,9870.00 ,9930.00 ,9850.00 ,9855.00 ,9895.00 ,9880.00 ,9934.75 ,,,403979.00 
2009-10-28,9870.00 ,10150.00 ,9855.00 ,10125.00 ,9950.00 ,9906.00 ,9958.00 ,,,608279.00 
2009-10-29,10335.00 ,10405.00 ,10250.00 ,10280.00 ,10002.00 ,9950.50 ,9984.25 ,,,967874.00 
2009-10-30,10100.00 ,10350.00 ,10095.00 ,10350.00 ,10082.00 ,9990.50 ,10007.00 ,,,1152114.00 
2009-11-02,10585.00 ,10585.00 ,10380.00 ,10455.00 ,10213.00 ,10051.00 ,10023.75 ,,,728591.00 
2009-11-03,10450.00 ,10535.00 ,10410.00 ,10535.00 ,10349.00 ,10122.00 ,10040.50 ,,,343874.00 
2009-11-04,10515.00 ,10530.00 ,10310.00 ,10310.00 ,10386.00 ,10168.00 ,10045.25 ,,,1203267.00 
2009-11-05,10350.00 ,10510.00 ,10350.00 ,10500.00 ,10430.00 ,10216.00 ,10063.25 ,,,399117.00 
2009-11-06,10330.00 ,10400.00 ,10315.00 ,10360.00 ,10432.00 ,10257.00 ,10086.50 ,,,1169278.00 
2009-11-09,10360.00 ,10360.00 ,10190.00 ,10280.00 ,10397.00 ,10305.00 ,10102.00 ,,,569199.00 
2009-11-10,10145.00 ,10280.00 ,10135.00 ,10280.00 ,10346.00 ,10347.50 ,10113.75 ,,,428484.00 
2009-11-11,10230.00 ,10295.00 ,10155.00 ,10155.00 ,10315.00 ,10350.50 ,10128.25 ,,,564950.00 
2009-11-12,10130.00 ,10260.00 ,10105.00 ,10260.00 ,10267.00 ,10348.50 ,10149.50 ,,,446530.00 
2009-11-13,10280.00 ,10380.00 ,10205.00 ,10320.00 ,10259.00 ,10345.50 ,10168.00 ,,,480012.00 
2009-11-16,10290.00 ,10340.00 ,10145.00 ,10145.00 ,10232.00 ,10314.50 ,10182.75 ,,,515994.00 
2009-11-17,10090.00 ,10205.00 ,10075.00 ,10205.00 ,10217.00 ,10281.50 ,10201.75 ,,,370555.00 
2009-11-18,10150.00 ,10150.00 ,10020.00 ,10080.00 ,10202.00 ,10258.50 ,10213.25 ,,,890190.00 
2009-11-19,10060.00 ,10065.00 ,9950.00 ,9975.00 ,10145.00 ,10206.00 ,10211.00 ,,,1323511.00 
2009-11-20,10025.00 ,10030.00 ,9945.00 ,9960.00 ,10073.00 ,10166.00 ,10211.50 ,,,512497.00 
2009-11-23,9950.00 ,10015.00 ,9925.00 ,9960.00 ,10036.00 ,10134.00 ,10219.50 ,,,431375.00 
2009-11-24,9920.00 ,10080.00 ,9910.00 ,10050.00 ,10005.00 ,10111.00 ,10229.25 ,,,516624.00 
2009-11-25,10040.00 ,10085.00 ,10010.00 ,10020.00 ,9993.00 ,10097.50 ,10224.00 ,,,262322.00 
2009-11-26,10050.00 ,10095.00 ,9950.00 ,10095.00 ,10017.00 ,10081.00 ,10214.75 ,,,496149.00 
2009-11-27,10205.00 ,10600.00 ,10205.00 ,10585.00 ,10142.00 ,10107.50 ,10226.50 ,,,1052654.00 
2009-11-30,10420.00 ,10450.00 ,10295.00 ,10370.00 ,10224.00 ,10130.00 ,10222.25 ,,,1268358.00 
2009-12-01,10400.00 ,10495.00 ,10250.00 ,10270.00 ,10268.00 ,10136.50 ,10209.00 ,,,1665521.00 
2009-12-02,10200.00 ,10220.00 ,10090.00 ,10100.00 ,10284.00 ,10138.50 ,10198.50 ,,,938945.00 
2009-12-03,10090.00 ,10090.00 ,9965.00 ,9965.00 ,10258.00 ,10137.50 ,10171.75 ,,,1017022.00 
2009-12-04,10015.00 ,10015.00 ,9865.00 ,9910.00 ,10123.00 ,10132.50 ,10149.25 ,,,962040.00 
2009-12-07,9880.00 ,9910.00 ,9845.00 ,9880.00 ,10025.00 ,10124.50 ,10129.25 ,,,797394.00 
