Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume
2010-02-22,10010.00 ,10275.00 ,10010.00 ,10165.00 ,2033.00 ,,,,,125001.00 
2010-02-23,10165.00 ,10215.00 ,10025.00 ,10165.00 ,4066.00 ,,,,,261358.00 
2010-02-24,10060.00 ,10060.00 ,9865.00 ,9935.00 ,6053.00 ,,,,,465118.00 
2010-02-25,10050.00 ,10050.00 ,9545.00 ,9605.00 ,7974.00 ,,,,,971853.00 
2010-02-26,9655.00 ,9745.00 ,9585.00 ,9675.00 ,9909.00 ,,,,,483447.00 
2010-03-02,9855.00 ,10025.00 ,9845.00 ,9970.00 ,9870.00 ,5951.50 ,,,,816285.00 
2010-03-03,9975.00 ,10030.00 ,9935.00 ,10000.00 ,9837.00 ,6951.50 ,,,,409382.00 
2010-03-04,10010.00 ,10150.00 ,9925.00 ,9980.00 ,9846.00 ,7949.50 ,,,,415601.00 
2010-03-05,10015.00 ,10245.00 ,10015.00 ,10245.00 ,9974.00 ,8974.00 ,,,,413305.00 
2010-03-08,10450.00 ,10605.00 ,10450.00 ,10605.00 ,10160.00 ,10034.50 ,,,,523893.00 
2010-03-09,10575.00 ,10580.00 ,10515.00 ,10555.00 ,10277.00 ,10073.50 ,,,,395700.00 
2010-03-10,10605.00 ,10605.00 ,10475.00 ,10540.00 ,10385.00 ,10111.00 ,,,,595403.00 
2010-03-11,10600.00 ,10665.00 ,10465.00 ,10475.00 ,10484.00 ,10165.00 ,,,,549665.00 
2010-03-12,10570.00 ,10620.00 ,10420.00 ,10525.00 ,10540.00 ,10257.00 ,,,,583673.00 
2010-03-15,10550.00 ,10580.00 ,10220.00 ,10315.00 ,10482.00 ,10321.00 ,,,,955705.00 
2010-03-16,10355.00 ,10395.00 ,10245.00 ,10340.00 ,10439.00 ,10358.00 ,8154.75 ,,,447756.00 
2010-03-17,10450.00 ,10785.00 ,10450.00 ,10780.00 ,10487.00 ,10436.00 ,8693.75 ,,,683255.00 
2010-03-18,10680.00 ,10825.00 ,10650.00 ,10675.00 ,10527.00 ,10505.50 ,9227.50 ,,,840897.00 
2010-03-19,10760.00 ,10850.00 ,10680.00 ,10825.00 ,10587.00 ,10563.50 ,9768.75 ,,,797673.00 
2010-03-22,10745.00 ,10745.00 ,10465.00 ,10580.00 ,10640.00 ,10561.00 ,10297.75 ,,,1254493.00 
2010-03-23,10670.00 ,10840.00 ,10670.00 ,10765.00 ,10725.00 ,10582.00 ,10327.75 ,,,599310.00 
2010-03-24,10965.00 ,10965.00 ,10720.00 ,10765.00 ,10722.00 ,10604.50 ,10357.75 ,,,1003363.00 
2010-03-25,10765.00 ,10860.00 ,10740.00 ,10835.00 ,10754.00 ,10640.50 ,10402.75 ,,,708843.00 
