Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume
2024-05-30,4245,4290,4240,4285,4198,4166,4160.5,4192.67,4324.5,25196070
2024-05-31,4250,4290,4235,4285,4213,4180,4165,4193.08,4321.83,19138248
2024-06-03,4255,4260,4190,4210,4225,4189.5,4164.75,4191.58,4318.75,22064840
2024-06-04,4235,4255,4220,4240,4245,4199.5,4165.75,4190.42,4315.5,22877816
2024-06-05,4210,4240,4185,4200,4244,4206,4169.75,4188.5,4312,29020046
2024-06-07,4160,4175,4130,4150,4217,4207.5,4171.75,4186.92,4307.96,26340416
2024-06-10,4200,4210,4160,4190,4198,4205.5,4173.25,4185.33,4304.75,17627260
2024-06-11,4180,4205,4175,4185,4193,4209,4175.5,4184.25,4301.63,14918984
2024-06-12,4190,4195,4145,4145,4174,4209.5,4175.5,4182.83,4298.38,20698808
2024-06-13,4100,4110,4065,4110,4156,4200,4173.75,4181.5,4294.46,23950884
2024-06-14,4115,4125,4085,4100,4146,4181.5,4173.75,4178.58,4290.96,31045638
2024-06-17,4120,4135,4105,4125,4133,4165.5,4172.75,4176.42,4287.92,17659646
2024-06-18,4095,4115,4075,4090,4114,4153.5,4171.5,4172.83,4284.71,24556124
2024-06-19,4050,4050,4020,4020,4089,4131.5,4165.5,4169.42,4281,22252746
2024-06-20,4030,4035,3995,4000,4067,4111.5,4158.75,4167.67,4277.83,35673032
2024-06-21,4040,4065,4030,4045,4056,4101,4154.25,4166.42,4274.79,25666284
2024-06-24,4070,4095,4060,4080,4047,4090,4147.75,4165.5,4272.17,18820980
2024-06-25,4080,4080,4050,4065,4042,4078,4143.5,4164.92,4269.54,15648147
2024-06-26,4085,4095,4030,4030,4044,4066.5,4138,4163.83,4267.04,19528752
2024-06-27,4070,4085,4035,4035,4051,4059,4129.5,4162.75,4265.21,16000339
2024-06-28,4025,4045,4015,4015,4045,4050.5,4116,4161.5,4263.42,9717020
2024-07-01,4035,4040,4005,4010,4031,4039,4102.25,4160.25,4260.58,17455562
2024-07-02,4030,4055,4015,4040,4026,4034,4093.75,4159.67,4257.63,18089954
2024-07-03,4025,4060,4020,4025,4025,4034.5,4083,4157.83,4254.42,15343627
2024-07-04,3990,3995,3970,3970,4012,4031.5,4071.5,4156,4250.63,16519060
2024-07-05,3950,3950,3880,3890,3987,4016,4058.5,4152.08,4246,30069352
2024-07-08,3900,3910,3885,3910,3967,3999,4044.5,4148.75,4241.13,26941716
2024-07-09,3885,3920,3880,3900,3939,3982.5,4030.25,4144.83,4236.21,15500252
2024-07-10,3915,3915,3890,3895,3913,3969,4017.75,4140.75,4230.92,13797165
2024-07-11,3865,3890,3850,3875,3894,3953,4006,4135.58,4225.58,18652552
2024-07-12,3910,3950,3895,3930,3902,3944.5,3997.5,4131,4220.13,39481212
