Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume
2024-05-30,18705,18725,18310,18365,19132,19421,19468.25,19227.17,18196.13,19877654
2024-05-31,18605,18725,18315,18375,18994,19301.5,19433,19222.25,18214.88,15408397
2024-06-03,18580,19120,18560,18995,18875,19211.5,19435.75,19233.17,18237.42,16439311
2024-06-04,18725,18895,18620,18690,18691,19112.5,19423.5,19240.92,18260.33,14035901
2024-06-05,19000,19175,18730,19070,18699,19050.5,19386.75,19254.58,18285.63,15505798
2024-06-07,19425,19725,19320,19580,18942,19037,19368,19268.17,18316.21,17967372
2024-06-10,19120,19440,19005,19235,19114,19054,19355,19281.33,18340.29,14586766
2024-06-11,19295,19335,19050,19245,19164,19019.5,19333.25,19289.67,18363.71,14492266
2024-06-12,19210,19590,19170,19575,19341,19016,19333,19300.92,18388.67,12440917
2024-06-13,20080,20295,19895,19895,19506,19102.5,19346.5,19311.42,18418.79,21775636
2024-06-14,19860,20110,19790,19970,19584,19263,19342,19335.17,18446.08,12560000
2024-06-17,19840,19940,19680,19765,19690,19402,19351.75,19352.25,18469.5,11548048
2024-06-18,20025,20230,19915,20145,19870,19517,19364.25,19382.92,18495.54,11421243
2024-06-19,20500,20800,20500,20795,20114,19727.5,19420,19414.08,18526.29,13082447
2024-06-20,20750,21050,20685,20950,20325,19915.5,19483,19430.25,18553.25,10522339
2024-06-21,20620,20695,20360,20555,20442,20013,19525,19441.75,18578.67,10230019
2024-06-24,20275,20380,20080,20245,20538,20114,19584,19450.25,18600.75,12429212
2024-06-25,20230,20460,20200,20380,20585,20227.5,19623.5,19454.92,18622.92,8296421
2024-06-26,20195,20680,20100,20680,20562,20338,19677,19464.67,18644.17,11384942
2024-06-27,20270,20650,20165,20640,20500,20412.5,19757.5,19473.92,18660.29,12844999
2024-06-28,20775,20885,20615,20880,20565,20503.5,19883.25,19485.08,18676.08,10745410
2024-07-01,20695,20980,20670,20950,20706,20622,20012,19496.92,18701.38,11026384
2024-07-02,20730,20895,20520,20640,20758,20671.5,20094.25,19501.42,18726.79,13380950
2024-07-03,20805,20825,20465,20815,20785,20673.5,20200.5,19519.67,18754.5,14038053
2024-07-04,21180,21380,21155,21380,20933,20716.5,20316,19537.42,18787.96,10193960
2024-07-05,21610,22350,21595,22190,21195,20880,20446.5,19576.25,18829.29,18141520
2024-07-08,22165,22280,22035,22040,21413,21059.5,20586.75,19609.92,18872.46,9466410
2024-07-09,22305,22330,21930,22185,21722,21240,20733.75,19650.08,18916.08,10616482
2024-07-10,22025,22225,22000,22160,21991,21388,20863,19690.33,18962.5,8209119
2024-07-11,22525,22675,22315,22430,22201,21567,20989.75,19741.75,19010.08,10175837
2024-07-12,22055,22155,21615,21790,22121,21658,21080.75,19785.67,19056.17,12797582
