Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume,Dollar
1990-03-02,881.16,886.42,879.27,884.07,856.91,855.78,864.66,890,896.15,21371,693
1990-03-05,873.41,876.26,865.22,865.22,870.43,858.85,863.84,889.2,894.99,12760,695.1
1990-03-06,860.59,864.8,852.59,857.58,869.98,859.31,862.77,888.02,894.39,12886,696.4
1990-03-07,855.5,855.89,846.88,847.46,867.15,858.71,861.46,886.84,893.75,8966,697.6
1990-03-08,845.01,857.36,843.1,847.77,859.89,858.4,860.5,885.61,893.12,10383,698.1
1990-03-09,848.96,852.7,846.69,852.7,854.15,859.15,859.8,884.57,892.54,9395,698.6
1990-03-12,853.28,854.06,849.24,850.65,851.23,860.83,858.71,883.3,891.94,9282,698.8
1990-03-13,850.25,850.26,841.55,841.56,848.03,859,857.08,881.77,891.22,8166,698.6
1990-03-14,840.95,844.85,836.81,838.19,846.17,856.66,855.36,880.2,890.46,8850,697.9
1990-03-15,836.44,837.19,833.29,835.59,843.74,851.82,853.8,878.52,889.65,7117,696.5
1990-03-16,839.7,846.67,839.62,842.27,841.65,847.9,852.95,877.01,888.89,10040,696.4
1990-03-19,838.62,842.12,837.99,839.42,838.12,843.07,851.19,874.61,887.38,7549,697
1990-03-20,843.93,849.98,843.09,849.98,840.48,843.33,851.02,873.3,886.82,15013,697.6
1990-03-21,853.48,855.15,849.01,849.91,843.34,843.54,850.97,872.21,886.33,17374,697.7
1990-03-22,850.09,850.85,844.86,845.96,844.08,842.87,851.01,871.1,885.85,11513,698.5
1990-03-23,845.31,846.2,841.62,841.79,845.41,841.98,851.41,869.8,885.39,9634,699.9
1990-03-26,836.88,837.33,832.52,834.54,841.92,841.2,848.93,867.14,884.36,7067,701
1990-03-27,834.86,835.82,827.92,827.92,837.52,840.43,846.12,865.88,883.78,9088,700.9
1990-03-28,826.38,826.38,818.9,819.04,832.14,838.11,843,864.48,883.11,9007,700.3
1990-03-29,817.9,826.91,817.9,824.59,828.7,837.06,840.97,863.33,882.53,13890,701.8
1990-03-30,826.12,845.98,826.12,845.98,830.41,837.71,840.39,862.72,882.13,12950,702.3
1990-04-02,840.5,844.94,838.29,838.29,833.76,835.64,839.59,861.4,881.21,14065,704.4
1990-04-03,838.41,839.36,831.06,836.63,837.28,834.71,838.79,860.77,880.75,13013,705.8
1990-04-04,837.27,838.12,825.34,828.98,838.15,833.43,837.7,860.11,880.28,16389,706.3
1990-04-06,826.59,831.76,819.29,831.73,835.3,832.86,837.21,859.43,879.82,12314,706.7
1990-04-09,819.13,823.43,816.21,816.78,826.68,830.22,835.33,856.87,878.7,8450,707
1990-04-10,815.94,816.03,809.52,810.76,821.51,829.39,833.75,855.32,878.14,7981,707
1990-04-11,809.45,815.85,809.11,813.66,818.45,828.3,832.68,853.79,877.65,10682,705.6
1990-04-12,812.44,812.83,804.16,806.86,813.47,824.39,831.05,852.28,876.81,11318,706.4
1990-04-13,805.36,807.57,799.73,803.15,810.24,820.61,828.71,850.86,875.77,12822,706.3
1990-04-16,786.82,788.47,777,777,798.76,810.14,822.42,847.33,873.38,9355,707
1990-04-17,771.83,796.6,771.56,796.56,795.34,806.89,820.16,845.97,872.44,14031,707.4
1990-04-18,796.45,803.93,781.53,781.53,790.28,801.87,817.37,844.41,871.39,11759,706.7
1990-04-19,783.61,787.1,767.67,768.31,783.31,796.78,814.06,842.59,870.22,7840,705.4
1990-04-20,773.98,777.37,765.54,767.45,778.17,791.84,811.03,840.6,869.12,7854,705
1990-04-23,780.04,780.06,769.8,774.4,774.35,784.84,806.57,837.13,867.15,4632,705.3
1990-04-24,774,775.97,768.14,768.47,771.73,781.01,802.7,835.29,866.18,5181,705.7
1990-04-25,767.09,767.09,755.06,755.07,769.09,776.2,798.41,833.31,865.07,5322,706.2
1990-04-26,750.18,750.18,726.11,726.11,760.82,769.49,792.8,830.96,863.69,7199,706.7
1990-04-27,728.86,748.86,719.94,748.86,754.58,766.68,788.41,829,862.37,8457,706.6
1990-04-30,702.69,702.69,688.66,688.66,727.81,749.77,775.82,823.37,859.09,4446,706.1
1990-05-01,701.9,718.46,701.9,718.45,720.49,744.79,770.78,820.8,857.63,8340,705.5
1990-05-03,743.39,750.82,743.39,750.82,725.43,743.13,767.48,818.87,856.41,3952,705.5
1990-05-04,774.44,782.42,774.44,782.33,732.13,743.35,766.06,817.59,855.37,20058,706
1990-05-07,794.86,806.42,791.56,791.56,746.36,745.07,764.96,816.5,854.48,20961,707.7
1990-05-08,791.49,804.86,791.49,796.54,767.94,747.88,764.44,815.56,853.65,16187,707.7
1990-05-09,800.63,800.63,791.04,793.36,782.92,751.71,763.95,814.56,852.83,11605,707.3
1990-05-10,787.5,787.5,769.54,771.76,787.11,756.27,762.88,813.24,851.9,8680,707.4
1990-05-11,766.62,775.46,752.92,762.27,783.1,757.61,762.15,811.86,850.89,9360,707.8
1990-05-14,741.17,742.29,733.49,734.42,762.18,765.06,757.42,808.36,848.76,7974,708.1
1990-05-15,726.98,726.98,710.06,724.76,748.46,765.69,755.24,806.08,847.71,7983,708.5
1990-05-16,728.66,756.87,728.66,756.87,745.48,766.3,754.71,803.96,846.98,7405,709
1990-05-17,776.74,784.35,766.07,773.43,747.71,765.41,754.38,802.16,846.1,16586,709.3
1990-05-18,766.68,774.94,762.91,766.15,751.13,762.86,753.97,800.5,844.85,8743,711
1990-05-21,765.77,770.29,765.77,770.28,766.38,757.42,754.56,797.68,842.26,5926,711.7
1990-05-22,773.78,789.32,773.78,785.93,772.19,758.84,757.55,796.65,841.13,13169,712.1
1990-05-23,786.01,792.19,784.14,787.91,775.09,761.4,759.51,795.57,840.07,10844,711.4
1990-05-24,785.85,785.85,781.14,785.79,779.01,765.07,762.78,794.49,838.89,6638,711.6
1990-05-25,785.08,792.43,785.08,790.73,784.13,770.7,767.88,793.64,837.7,8478,712
1990-05-28,780.01,781.77,776.59,778.23,785.28,778.74,772.52,791.78,835.15,5450,712.3
1990-05-29,778.1,784.49,778.1,783.87,784.47,779.78,772.59,790.8,833.9,8297,712.5
1990-05-30,783.42,799.79,779.48,789.89,785.29,782.15,772.51,790.05,832.91,12359,711.6
1990-05-31,795.94,802.56,795.94,797.95,786.74,785.43,772.58,789.36,831.98,16821,711.2
1990-06-01,804.67,806.92,798.93,803.64,790.72,788.77,773.09,788.58,830.94,17723,711.7
1990-06-04,806.32,814.41,805.87,814.4,802.15,793.31,777.35,787.31,829.2,17267,713.8
1990-06-05,814.4,818.81,806.97,807.97,805.76,795.53,780.3,786.74,828.27,16486,713.8
1990-06-07,805.63,807.43,800.79,804.09,806.99,796.86,783.78,786.19,827.3,9940,714.7
1990-06-08,801.14,805.85,799.36,804.47,807.16,798.94,787.77,785.69,826.41,10248,715.1
1990-06-11,794.98,794.98,786.35,786.35,800.4,801.27,790.53,784.66,824.57,6346,716.3
1990-06-12,782.33,787.31,782.02,784.97,795.8,800.78,791.47,784,823.67,7945,716.3
1990-06-13,782.99,782.99,777.08,780.56,791.09,799.04,792.24,782.91,822.81,6982,716.1
1990-06-14,776.9,776.9,771.41,772.2,784.64,795.9,792.33,781.77,821.89,6181,715.8
1990-06-15,770.87,772.09,768.18,770.77,778.97,792.49,791.58,780.64,821.02,7764,716.1
1990-06-18,768.44,768.44,756.39,756.39,770.8,783.3,789.41,778.39,819.25,6106,716.6
1990-06-19,749.92,762.48,746.41,749.61,764.61,777.85,787.36,777.02,818.22,10546,716.4
1990-06-20,745.66,750.72,740.84,740.84,758.34,771.49,785.21,775.71,816.91,6066,715.8
1990-06-21,739.09,746.37,739.09,743.17,752.82,765.89,783.46,774.49,815.68,5921,716.3
1990-06-22,746.27,748.04,744.49,747.37,747.48,762,781.63,773.43,814.38,5742,716.9
1990-06-25,744.06,744.06,739.45,739.8,743.66,754.13,776.59,771.2,811.74,4620,716.7
1990-06-26,736.54,736.54,733,736.42,742.78,750.56,773.23,770.09,810.48,6562,716.7
1990-06-27,736.81,740.02,735.56,740.01,742.14,747.48,769.99,769.21,809.17,6430,716.5
1990-06-28,741.83,741.83,729.59,732.64,739.2,743.34,765.9,768.47,807.9,7589,716.1
1990-06-29,727.55,727.55,719.99,720,733.77,739.7,761.5,767.19,806.58,6219,715.8
1990-07-02,704.5,713.19,704.5,713.18,722.52,732.65,752.07,765.03,803.81,5816,715.7
1990-07-03,717.47,745.04,717.47,745.04,723.53,732.84,749.37,764.65,802.63,6791,715.6
1990-07-04,750,752.41,735.3,735.3,724.06,731.63,746.81,763.91,801.42,16068,715.8
1990-07-05,730.15,733.59,723.1,723.1,724.68,729.23,743.72,763.05,800.09,7764,716.2
1990-07-06,720.35,728.98,715.36,716.17,726.56,726.87,740.5,762.18,798.73,8806,717.2
1990-07-09,712.64,715.28,712.2,715.28,720.65,722.09,734.79,761.3,796.13,5059,717.4
1990-07-10,716.38,718.75,715.12,718.75,717.34,720.7,732.02,760.8,794.9,4957,717.2
1990-07-11,716.8,717.02,710.74,711,714.92,719.8,729.75,760.65,793.55,4990,716.3
1990-07-12,711,711,699.13,701.91,712.07,719.31,727.37,760.87,792.12,7973,716.1
1990-07-13,701.14,701.14,688.78,688.78,707.14,716.87,724.76,760.37,790.59,5979,715.9
1990-07-16,685.74,685.74,677.24,683.01,694.78,706.06,718.85,757.69,787.64,4483,715.7
1990-07-18,695.48,704.84,693.83,698.01,692.18,703.55,716.39,756.13,786.32,9820,715.6
1990-07-19,696.3,702.27,689.75,693.44,690.49,701.28,714.07,754.41,784.99,7527,715.4
1990-07-20,694.2,694.93,691.94,694.64,691.66,699.4,711.98,752.77,783.66,4967,715.5
1990-07-23,683.12,684.77,680.8,681.38,690.83,692.81,706.75,750,780.93,3389,715.8
1990-07-24,678.11,680.6,674.08,679.67,687.16,689.67,704.74,748.84,779.65,4900,715.5
1990-07-25,678.66,690.21,678.66,685.27,685.53,688.01,703.66,748.03,778.19,6925,715.3
1990-07-26,686.01,686.01,676.83,676.83,681.97,686.81,701.84,747.23,776.65,3895,715.3
1990-07-27,675.35,675.35,669.66,673.16,679.26,685.21,698.25,745.83,774.89,4773,715.3
1990-07-30,677.61,677.61,672.71,673.8,677.56,682.36,692.96,742.71,771.61,2371,715.3
1990-07-31,672.07,678.39,672.07,678.38,676.18,680.86,691.07,741.27,770.12,4503,714.1
1990-08-01,678.84,696.39,678.84,690.21,678.86,680.41,689.91,739.93,768.81,9499,713.2
1990-08-02,693.52,694.87,688.18,688.28,681.88,680.57,688.56,738.31,767.48,6593,713.7
1990-08-03,682.45,684.71,678.35,678.37,681.81,680.27,686.54,736.48,766.02,8580,714.4
1990-08-06,668.78,668.78,661.29,661.4,677.94,677.06,682.53,732.42,763.03,5290,715.2
1990-08-07,656.79,656.79,647.67,655.88,671.07,674.96,680.89,730.29,761.51,9234,715.5
1990-08-08,653.19,653.19,645.98,646.03,662.62,672.25,678.73,728.08,759.93,7864,715
1990-08-09,642.01,650.53,638.3,648.95,656.74,669.27,677.03,725.84,758.32,12813,715.7
1990-08-10,647.33,664.59,647.06,658.94,654.24,667.79,675.07,723.65,756.85,11026,716.4
1990-08-13,654.7,656.81,645.86,645.86,651.13,661.1,670.76,718.66,753.62,5879,717
1990-08-14,641.61,641.61,632.3,632.3,648.39,655.5,668.04,715.78,751.81,7088,717.8
1990-08-16,632.61,637.47,620.39,625.03,643.6,650.17,665.22,712.62,749.97,10052,717.8
1990-08-17,618.15,627.21,614.55,623.9,636.6,645.42,662.43,709.56,748.15,9875,716.9
1990-08-20,626.32,627.91,621.32,621.33,626.13,638.63,656.8,703.57,744.63,5306,716.5
1990-08-21,617.51,617.51,606.85,610.47,621.76,635.07,653.66,700.43,742.82,8618,715.8
1990-08-22,612.39,614.02,601.94,607.16,618.19,630.9,650.08,697.44,741.05,9802,715.6
1990-08-23,606.59,606.59,596.78,603.62,614.13,625.36,646.57,694.42,739.21,14422,715.8
1990-08-24,595.36,599.05,584.88,594.23,607.36,619.2,642.37,691.31,737.11,15790,715.3
1990-08-27,600.18,614.3,600.18,614.29,601.34,611.55,633.53,685.62,733.13,3923,715.3
1990-08-28,633.57,642.42,633.57,642.42,608.39,613.29,631.73,683.43,731.51,4246,714.7
1990-08-29,650.29,656.37,632.48,647.77,617.22,615.67,630.55,681.62,730,22592,714.2
